Welche Daten umfasst die 24h-Marktübersicht für ein ausgewähltes Symbol?,"Preis, Volumen, prozentuale Änderung, sowie Tageshoch und Tagestief."
Welches Tool wird für Unit-Tests in der Cachy-Entwicklungsumgebung verwendet?,Vitest.
Was ist die Funktion des 'Debug Mode' in den Systemeinstellungen?,Das Aktivieren von Systemprotokollen für eine bessere Fehlerdiagnose.
Welche Konvention sollte laut Dokumentation für Commit-Nachrichten bei Beiträgen (Contributions) genutzt werden?,Conventional Commits.
Wie kann die Sichtbarkeit der Sidebar und der Marktübersicht gesteuert werden?,"Über die Einstellung 'Show Sidebars', um Platz auf dem Bildschirm zu sparen."
In welchem Verzeichnis befinden sich die Quelldateien für das Benutzerhandbuch?,`src/instructions/guide.en.md` (oder über den 'Guide'-Button in der App).
Was bewirkt die 'Symbol Normalization' in Version 0.94.2?,Eine stabilere API-Zuordnung durch verbessertes Handling von Symbol-Suffixen.
Welches Kommando startet den Entwicklungsserver lokal?,`npm run dev`
Welcher Port wird standardmäßig für den lokalen Entwicklungsserver verwendet?,Port 5173 (`http://localhost:5173`).
Wie viele verschiedene Farbthemen stehen in Cachy zur Auswahl?,"Über 20 Themen (z. B. Dark, Light, Dracula, Nord)."
Welche Sprachen werden von der Benutzeroberfläche unterstützt?,Deutsch und Englisch.
Was ist die Voraussetzung für den automatischen Abruf des Kontostands beim Start?,Die Aktivierung in den Einstellungen und das Hinterlegen gültiger API-Schlüssel.
Welche Update-Intervalle können für Marktdaten konfiguriert werden?,"1 Sekunde, 1 Minute oder 10 Minuten."
Was bietet der 'Global Chat' im Vergleich zu den 'Private Notes'?,"Der Global Chat nutzt einen flüchtigen Server-Cache, während Private Notes rein lokal gespeichert werden."
Unter welcher Lizenz wird das Cachy-Projekt veröffentlicht?,GNU Affero General Public License v3.0 (AGPLv3).
"Welches Kommando wird verwendet, um einen Produktions-Build zu erstellen?",`npm run build`
Was ist der Zweck der `AGENT.md`-Datei im Repository?,Sie enthält Richtlinien für Coding-Konventionen und Prozesse für Entwickler.
Welche Funktion hat die Backup-Funktion in Cachy?,"Das Erstellen einer JSON-Datei mit allen Einstellungen, Journal-Einträgen und Presets zur späteren Wiederherstellung."
Wie wird ein Symbol als Favorit markiert?,Durch Klicken auf das Stern-Symbol in der Marktübersicht.
Welche technische Komponente ermöglicht ultra-schnelle Preis-Updates bei Bitunix?,Die Integration von Bitunix Websockets.
Welcher Befehl führt die statische Code-Analyse (Linting) aus?,`npm run lint`
Was wurde in Version 0.92b hinsichtlich der Symboleingabe verbessert?,Das Eingabefeld akzeptiert nun sowohl Buchstaben als auch Zahlen.
Was berechnet Cachy im Zusammenhang mit Take Profits außer dem Gewinn?,Das Chance-Risiko-Verhältnis ($R/R$) pro Ziel und für die Gesamtposition.
"Wie wird die Applikation gestartet, wenn sie als Node.js-Server bereitgestellt wird?",`npm start` (oder via PM2 mit `pm2 start build/index.js`).
In welcher Datei werden Änderungen an der Anwendung automatisch dokumentiert?,`src/instructions/changelog.en.md`.
Können manuell abgerufene ATR-Werte in Cachy noch verändert werden?,"Ja, die automatisch abgerufenen Werte können manuell angepasst werden."
Welche Tastenkombination wird für die Risiko-Berechnung (Risk) verwendet?,Alt+R
Wie verhalten sich Modals beim Klicken auf den Hintergrund?,Sie werden automatisch geschlossen.
Welche Datenstruktur wird für die Speicherung von Backups verwendet?,Das JSON-Format.
