id,question,answer
candles-morning-star-stop-loss,Wo wird der Stop-Loss beim Morgenstern-Kerzenmuster platziert?,Direkt unterhalb des Unterdochts der mittleren Kerze.
candles-advancing-retracing-wicks,Was sind 'Advancing Wicks' (AW) und 'Retracing Wicks' (RW)?,"Dochte von Kerzen (ca. 30% der Kerzenlänge), die vorzugsweise an der 21er EMA oder Trendlinien als Abprall-Signal dienen."
chart-bull-flag,Welche Eigenschaften hat eine Bull Flag (Bullenflagge)?,"Ein impulsiver Anstieg nach oben (Fahnenmast) mit geöffneten EMAs, gefolgt von einer leichten Konsolidierung nach unten."
chart-ascending-triangle,Was ist ein Aufsteigendes Triangel (Ascending Triangle)?,"Ein Chartmuster mit einer horizontalen Widerstandslinie oben und höheren Tiefs nach unten, das meist nach oben ausbricht."
risk-reward-ratio-disqualify,Warum disqualifiziert ein schlechtes Chance-Risiko-Verhältnis (CRV < 1:1) ein Trading-Setup?,Weil das potenzielle Verlustrisiko im Verhältnis zum Gewinn zu hoch ist und den Trade statistisch unprofitabel macht.
candle-close-before-entry,"Warum sollte man beim Trading meistens warten, bis eine Kerze schließt?",Weil Dochte während der Kerzenbildung täuschen können und erst der Kerzenschluss das Setup und die Levels validiert.
psychology-revenge-trading,Was ist 'Rache-Trading' (Revenge Trading) und warum ist es gefährlich?,"Das emotionale Eröffnen neuer Trades direkt nach einem Verlust, um das Geld schnell zurückzuholen, was meist zu noch größeren Verlusten führt."
security-cold-wallet,"Warum wird empfohlen, den Hauptteil von Spot-Kryptowährungen auf einer Cold Wallet zu lagern?","Um das Vermögen vor Börsen-Insolvenzen, Hacks und Drittanbieter-Risiken zu schützen."
process-backtesting-goal,Welches Ziel verfolgt konsequentes Backtesting von Trading-Regeln?,Das Aufbauen von Vertrauen in die eigene Strategie und das statistische Nachweisen einer positiven Trefferquote (Edge).
rsi-overbought-trending,Wie verhält sich der RSI in einem starken Trendmarkt in überkauften Bereichen (>70)?,"Der RSI kann in starken Trends sehr lange über 70 bleiben, weshalb einfaches Verkaufen bei RSI >70 oft zu Verlusten führt."
confluence-definition,Was versteht man unter 'Konfluenz' im Trading?,Das Zusammentreffen mehrerer unabhängiger Bestätigungen (z. B. Fibo Golden Pocket + Divergenz + Kerzenmuster + EMA-Unterstützung).
candle-size-at-entry,Was ist das wichtigste Kriterium bei der Wahl der Kerzengröße am Einstiegspunkt?,"Die Einstiegskerze darf nicht zu groß sein, da ein weiter Stop-Loss das Risk-Reward-Verhältnis verschlechtert."
support-resistance-entry-room,"Warum sollten Trades nicht direkt vor wichtigen Unterstützungen, Widerständen oder EMAs eröffnet werden?","Weil diese Zonen wie 'Wände' wirken, an denen der Preis abprallen kann; Trades brauchen Raum zum Atmen."
